"variable_name","toolkit_canada_pct","omd_weighted_pct","difference","pct_difference"
"grape",52.3,52.3217740411831,0.0217740411830576,0.0416329659331885
"banana",76.7,76.7221814749101,0.0221814749101128,0.0289197847589476
"pineapple",30,29.9720706605857,-0.0279293394143494,-0.0930977980478313
"olive",27.2,27.190752840197,-0.00924715980303503,-0.03399691104057
"kiwi",12.3,12.3311480163961,0.0311480163960951,0.25323590565931
"fruitz",9.4,19.910346439723,10.510346439723,111.812196167266
"dryfruit",33.2,33.2445916730655,0.044591673065483,0.134312268269527
"fruitsm",27.9660546656276,27.9660546656275,-9.9475983006414e-14,-3.5570259800957e-13
"unpjuice",7.8,16.497287246282,8.69728724628204,111.503682644642
"peanut",34.0922436046778,34.0922436046778,-7.105427357601e-15,-2.0841771049137e-14
"pnbutter",52.4771002818298,52.4771002818296,-1.77635683940025e-13,-3.38501332935752e-13
"almond",39.1324612285001,39.1324612285,-9.9475983006414e-14,-2.54203236605945e-13
"walnut",23.9667617697611,23.966761769761,-1.17239551400417e-13,-4.89175602973356e-13
"hazelnut",10.341715599796,10.341715599796,-2.66453525910038e-14,-2.57649249139372e-13
"cashew",31.7601679466703,31.7601679466703,-2.48689957516035e-14,-7.8302469285937e-14
"cbutter",1.70653093406167,1.70653093406167,-6.66133814775094e-16,-3.90343826460646e-14
"pecan",17.1030766737345,17.1030766737344,-6.03961325396085e-14,-3.53130221490266e-13
"onut",22.3797287405142,22.3797287405141,-7.46069872548105e-14,-3.3336859494525e-13
"sunflwsd",19.2082873601826,19.2082873601825,-7.8159700933611e-14,-4.06906141437838e-13
"sesamesd",30.1363328208963,30.1363328208962,-8.17124146124115e-14,-2.71142527851805e-13
"tahini",14.3238636421096,14.3238636421096,-4.08562073062058e-14,-2.8523175259848e-13
"chia",16.3870505300181,16.3870505300181,-7.46069872548105e-14,-4.55280144026797e-13
"flax",16.861640633037,16.8616406330369,-8.17124146124115e-14,-4.84605361902402e-13
"oseed",20.0694750281877,20.0694750281876,-1.10134124042816e-13,-5.48764349282338e-13
"anybeef",79.6212433113175,79.6212433113171,-4.2632564145606e-13,-5.35442080185981e-13
"anygroundbeef",68.663925345666,68.6639253456658,-2.41584530158434e-13,-3.51836177355512e-13
"bgroundraw",2.8413550209751,2.8413550209751,2.66453525910038e-15,9.37769212024042e-14
"hamb",44.5447624090536,44.5447624090534,-1.63424829224823e-13,-3.66877766063934e-13
"zbeefpatties",14.6556290247555,14.6556290247555,-8.88178419700125e-15,-6.06032274834375e-14
"stewingb",17.9065152864562,17.9065152864562,-7.105427357601e-14,-3.9680681829676e-13
"veal",6.06693567004393,6.06693567004392,-1.06581410364015e-14,-1.75675853776184e-13
"sausage_beef",14.7024033583297,14.7024033583296,-5.86197757002083e-14,-3.98708797953071e-13
"bwhole",23.1080212055058,33.1133828114821,10.0053616059763,43.2982189041457
"anypork",58.9378681363292,58.9378681363289,-2.8421709430404e-13,-4.82231718403213e-13
"pground",15.3286709888641,15.328670988864,-5.6843418860808e-14,-3.70830706080804e-13
"sausage_pork",29.3280938442018,29.3280938442017,-8.5265128291212e-14,-2.90728503339364e-13
"porkparts",41.5734634503276,41.5734634503275,-1.20792265079217e-13,-2.90551363909194e-13
"rpork",3.45300556826818,3.45300556826817,-1.19904086659517e-14,-3.47245564158339e-13
"anychick",86.5277999115091,86.5277999115088,-3.41060513164848e-13,-3.94162932044552e-13
"cbreaded",33.1223805206589,33.1223805206588,-1.06581410364015e-13,-3.21780647068947e-13
"zcbreaded",23.2227021615854,23.2227021615854,-1.77635683940025e-14,-7.64922543053008e-14
"cstuffed",7.14252535314093,7.14252535314093,0,0
"zcstuffed",5.31497945214475,5.31497945214476,3.5527136788005e-15,6.68434132396669e-14
"cground",7.60952143672671,7.6095214367267,-1.33226762955019e-14,-1.75079029690371e-13
"wholec",24.8078887728055,24.8078887728054,-6.75015598972095e-14,-2.72097156333614e-13
"rawwholec",29.9353627857185,29.9353627857185,-4.2632564145606e-14,-1.42415391624868e-13
"chickparts",70.7841462588475,70.7841462588471,-3.5527136788005e-13,-5.01908106062159e-13
"sausage_chick",3.50432426294124,3.50432426294123,-7.105427357601e-15,-2.02761697390335e-13
"anyturk",13.0495726031605,13.0495726031604,-5.6843418860808e-14,-4.35596019804059e-13
"sausage_turk",4.22202602415573,1.38078631459243,-2.8412397095633,-67.2956465286464
"tground",1.38078631459243,4.22202602415572,2.84123970956329,205.769689309381
"turkparts",5.21842799980402,6.26838398697152,1.0499559871675,20.1201585459631
"wholet",6.26838398697154,5.218427999804,-1.04995598716754,-16.7500266312627
"poultryo",3.90809357812201,3.908093578122,-1.11022302462516e-14,-2.8408301961865e-13
"deliany",50.0166265103994,50.0166265103992,-1.91846538655227e-13,-3.83565530184924e-13
