"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"cstuffed",192,"POULTRY","Produits de poulet farcis achetés en magasin",FALSE
"zcstuffed",193,"POULTRY","Produits de poulet farcis achetés en magasin acheté congelées",FALSE
"cground",194,"POULTRY","Poulet haché",FALSE
"wholec",195,"POULTRY","Poulet entier rôti du commerce",FALSE
"rawwholec",196,"POULTRY","Poulet entier acheté cru et cuit à la maison",FALSE
"chickparts",197,"POULTRY","Poulet en morceaux ou en pièces",FALSE
"sausage_chick",198,"POULTRY","Saucisses de poulet (sauf les saucissons)",FALSE
"fb1_chickenfromarestaurantorfastfoodestablishment",199,"POULTRY","Poulet provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"anyturk",200,"POULTRY","Dinde (sauf la charcuterie)",FALSE
"sausage_turk",201,"POULTRY","Saucisses de dinde",FALSE
"tground",202,"POULTRY","Dinde hachée",FALSE
"turkparts",203,"POULTRY","Dinde en morceaux ou en pièce",FALSE
"wholet",204,"POULTRY","Dinde entière",FALSE
"tbacon",205,"POULTRY","Bacon de dinde*",TRUE
"poultryo",206,"POULTRY","Autres types de volaille (sauf la charcuterie)",FALSE
"deliany",208,"CHARCUTERIES","Charcuteries ou viandes froides",FALSE
"chickdeli",209,"CHARCUTERIES","Charcuterie de poulet",FALSE
"turkdeli",210,"CHARCUTERIES","Charcuterie de dinde",FALSE
"hamdeli",211,"CHARCUTERIES","Charcuterie de jambon",FALSE
"beefdeli",212,"CHARCUTERIES","Charcuterie de bœuf",FALSE
"odeli",213,"CHARCUTERIES","Autres charcuteries",FALSE
"hotdog",215,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Hot dogs",FALSE
"pate",216,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Pâté/viande à tartiner",FALSE
"organ",217,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Abats",FALSE
"vliver",218,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Foie de veau",FALSE
"rawliver",219,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Foie de veau cru ou pas assez cuit",FALSE
"oorgan",220,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Autres abats",FALSE
"goat",221,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Chèvre",FALSE
"lamb",222,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Agneau",FALSE
"horse",223,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Chèvre",FALSE
"driedmeat",224,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Produits de viande séchée",FALSE
"deer",225,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Chevreuil chassé ou d’élevage",FALSE
"huntedmeats",226,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Autres viandes chassées",FALSE
"bologna",227,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Bologne*",TRUE
"salami",228,"AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Salami*",TRUE
