"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"farman",369,"CONTACT AVEC LES ANIMAUX","Manipulé des animaux de la ferme / du bétail ou leurs déchets",FALSE
"cattle",370,"CONTACT AVEC LES ANIMAUX","Bovins",FALSE
"poultry",371,"CONTACT AVEC LES ANIMAUX","Volailles",FALSE
"pig",372,"CONTACT AVEC LES ANIMAUX","Cochons",FALSE
"sheepgoat",373,"CONTACT AVEC LES ANIMAUX","Moutons et chèvres",FALSE
"horsecontact",374,"CONTACT AVEC LES ANIMAUX","Cheval*",TRUE
"livefarm",375,"CONTACT AVEC LES ANIMAUX","Vécu sur une ferme ou une propriété de campagne",FALSE
"visitfarm",376,"CONTACT AVEC LES ANIMAUX","Visité ou travaillé dans une ferme, ou visité un parc animalier ou une foire agricole",FALSE
"pettingzoo",377,"CONTACT AVEC LES ANIMAUX","Visite d'un zoo pour enfants*",TRUE
"farmvisit",378,"CONTACT AVEC LES ANIMAUX","Visite d'une ferme ou d'une grange*",TRUE
"fairvisit",379,"CONTACT AVEC LES ANIMAUX","Visite d'une foire agricole*",TRUE
"petstorevisit",380,"CONTACT AVEC LES ANIMAUX","Visite d'une animalerie*",TRUE
