"variable_name","exposure_number","category_en","category_fr","exposure_en","exposure_fr","is_foodbook1_only"
"anyberry",102,"FRUITS","FRUITS","Any berries","Petits fruits",FALSE
"strawb",103,"FRUITS","FRUITS","Strawberries","Fraises",FALSE
"strawbf",104,"FRUITS","FRUITS","Fresh strawberries","Fraises fraîches",FALSE
"strawbz",105,"FRUITS","FRUITS","Frozen strawberries","Fraises surgelées",FALSE
"strawbd",106,"FRUITS","FRUITS","Dried strawberries","Fraises séchées",FALSE
"raspb",107,"FRUITS","FRUITS","Raspberries","Framboises",FALSE
"raspbf",108,"FRUITS","FRUITS","Fresh raspberries","Framboises fraîches",FALSE
"raspbz",109,"FRUITS","FRUITS","Frozen raspberries","Framboises surgelées",FALSE
"raspbd",110,"FRUITS","FRUITS","Dried raspberries","Framboises séchées",FALSE
"blueb",111,"FRUITS","FRUITS","Blueberries","Bleuets",FALSE
"bluebf",112,"FRUITS","FRUITS","Fresh blueberries","Bleuets frais",FALSE
"bluebz",113,"FRUITS","FRUITS","Frozen blueberries","Bleuets surgelés",FALSE
"bluebd",114,"FRUITS","FRUITS","Dried blueberries","Bleuets séchés",FALSE
"blackb",115,"FRUITS","FRUITS","Blackberries","Mûres",FALSE
"blackbf",116,"FRUITS","FRUITS","Fresh blackberries","Mûres fraîches",FALSE
"blackbz",117,"FRUITS","FRUITS","Frozen blackberries","Mûres surgelées",FALSE
"blackbd",118,"FRUITS","FRUITS","Dried blackberries","Mûres séchées",FALSE
"coconut",119,"FRUITS","FRUITS","Coconut","Noix de coco",FALSE
"coconutf",120,"FRUITS","FRUITS","Fresh coconut","Noix de coco fraîches",FALSE
"coconutz",121,"FRUITS","FRUITS","Frozen coconut","Noix de coco surgelées",FALSE
"coconutd",122,"FRUITS","FRUITS","Dried/shredded coconut","Noix de coco séchées",FALSE
"apple",123,"FRUITS","FRUITS","Apples*","Pommes*",TRUE
"pear",124,"FRUITS","FRUITS","Pears*","Poires*",TRUE
"apricot",125,"FRUITS","FRUITS","Apricots*","Abricots*",TRUE
"plum",126,"FRUITS","FRUITS","Plums*","Prunes*",TRUE
"citrus",127,"FRUITS","FRUITS","Citrus fruits*","Agrumes*",TRUE
"cherry",128,"FRUITS","FRUITS","Cherries*","Cerises*",TRUE
"grape",129,"FRUITS","FRUITS","Grapes*","Raisins*",TRUE
"banana",130,"FRUITS","FRUITS","Bananas*","Bananes*",TRUE
"pineapple",131,"FRUITS","FRUITS","Pineapple*","Ananas*",TRUE
"olive",132,"FRUITS","FRUITS","Olives*","Olives*",TRUE
"kiwi",133,"FRUITS","FRUITS","Kiwi*","Kiwis*",TRUE
"fruitbz",134,"FRUITS","FRUITS","Bag of mixed frozen fruit or berries","Sacs de fruits ou de petits fruits mélangés congelés",FALSE
"anyfruitz",135,"FRUITS","FRUITS","Any frozen fruit*","Tout type de fruits congelés*",TRUE
"berriesz",136,"FRUITS","FRUITS","Frozen berries*","Petits fruits congelés*",TRUE
"fruitz",137,"FRUITS","FRUITS","Frozen fruit (not including berries)*","Fruits congelés (excluant les petits fruits)*",TRUE
"dryfruit",138,"FRUITS","FRUITS","Dried fruit*","Fruits séchés*",TRUE
"fruitsm",139,"FRUITS","FRUITS","Fruit smoothies (at home or store-bought)","Boissons fouettées aux fruits (maison ou achetées en magasin)",FALSE
"unpjorc",140,"FRUITS","FRUITS","Unpasteurized apple cider or fruit juice","Cidre de pomme ou jus de fruits non pasteurisés",FALSE
"unpjuice",141,"FRUITS","FRUITS","Unpasteurized fruit juice*","Jus de fruits non pasteurisé*",TRUE
"anynut",143,"FRUITS","FRUITS","Any nuts","Noix",FALSE
"peanut",144,"FRUITS","FRUITS","Peanuts (not including peanut butter)","Arachides (sauf le beurre ou la tartinade d’arachide)",FALSE
"pnbutter",145,"FRUITS","FRUITS","Peanut butter","Beurre d’arachides",FALSE
"almond",146,"FRUITS","FRUITS","Almonds (excluding almond butter)","Amandes(sauf le beurre ou la tartinade d’amandes)",FALSE
"abutter",147,"FRUITS","FRUITS","Almond butter/spread","Beurre d’amande",FALSE
"walnut",148,"FRUITS","FRUITS","Walnuts","Noix de Grenoble",FALSE
"hazelnut",149,"FRUITS","FRUITS","Hazelnuts (Filberts)","Noisettes (sauf le beurre ou la tartinade de noisette)",FALSE
"hspread",150,"FRUITS","FRUITS","Butter/spread containing hazelnuts","Tartinade aux noisettes",FALSE
"cashew",151,"FRUITS","FRUITS","Cashews","Noix de cajou (sauf le beurre ou la tartinade de cajou)",FALSE
"cbutter",152,"FRUITS","FRUITS","Cashew butter/spread","Beurre de cajou",FALSE
"pecan",153,"FRUITS","FRUITS","Pecans","Pacanes",FALSE
"onut",154,"FRUITS","FRUITS","Other nuts","Autres noix",FALSE
"nutpaste",155,"FRUITS","FRUITS","Other nut paste, butter or spread*","Autres pâtes, beurres ou tartinades de noix*",TRUE
"anyseed",156,"FRUITS","FRUITS","Any seeds","Toutes les graines",FALSE
"sunflwsd",157,"FRUITS","FRUITS","Sunflower seeds","Graines de tournesol",FALSE
"ssbutter",158,"FRUITS","FRUITS","Butter or paste containing sunflower seeds","Beurre ou pâte contenant des graines de tournesol",FALSE
"sesamesd",159,"FRUITS","FRUITS","Sesame seeds","Graines de sésame",FALSE
"tahini",160,"FRUITS","FRUITS","Tahini, including home made hummus","Tahini (pâte de sésame), y compris dans du houmous maison",FALSE
"tahinifb1",161,"FRUITS","FRUITS","Tahini, halva or other products made from sesame seeds*","Tahini, halva ou autres produits faits à partir de graines de sésame*",TRUE
"chia",162,"FRUITS","FRUITS","Chia seeds/chia seed powder","Graines de chia et poudre de graines de chia",FALSE
"flax",163,"FRUITS","FRUITS","Flax seeds/flax seed powder","Graines de lin et poudre de graines de lin",FALSE
"oseed",164,"FRUITS","FRUITS","Other seeds","Autres graines",FALSE
"anybeef",166,"BEEF","BEEF","Any beef (not including deli-meat)","Bœuf (sauf la charcuterie)",FALSE
"anygroundbeef",167,"BEEF","BEEF","Any ground beef","Bœuf haché",FALSE
"bgroundraw",168,"BEEF","BEEF","Ground beef consumed raw or undercooked","Bœuf haché consommé cru ou pas assez cuit",FALSE
"bground",169,"BEEF","BEEF","Any other ground beef*","Autre bœuf haché*",TRUE
"hamb",170,"BEEF","BEEF","Any hamburgers","Hamburgers",FALSE
"zbeefpatties",171,"BEEF","BEEF","Store-bought frozen beef patties","Galettes de bœuf haché achetées congelées",FALSE
"hambhome",172,"BEEF","BEEF","Home-made hamburgers*","Hamburgers faites à la maison*",TRUE
"hambrest",173,"BEEF","BEEF","Hamburgers from a restaurant or fast food establishment*","Hamburgers provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"rawbeef",174,"BEEF","BEEF","Raw beef","Bœuf cru (sauf le bœuf haché cru)",FALSE
"steak",175,"BEEF","BEEF","Steak","Bifteck",FALSE
"stewingb",176,"BEEF","BEEF","Stewing beef","Bœuf à ragoût",FALSE
"veal",177,"BEEF","BEEF","Veal","Veau",FALSE
"sausage_beef",178,"BEEF","BEEF","Beef sausage (excluding dried)","Saucisses de bœuf (sauf les saucissons)",FALSE
"bwhole",179,"BEEF","BEEF","Other whole-cut beef products","Autres morceaux de bœuf",FALSE
"anypork",181,"PORK","PORK","Any pork (not including deli-meat)","Porc (sauf la charcuterie)",FALSE
"pground",182,"PORK","PORK","Ground pork","Porc haché",FALSE
"sausage_pork",183,"PORK","PORK","Pork sausage","Saucisses de porc (sauf les saucissons)",FALSE
"porkparts",184,"PORK","PORK","Pork pieces or parts","Porc en morceaux ou en pièces",FALSE
"rpork",185,"PORK","PORK","Pork eaten raw or with pink still showing","Porc mangé cru ou encore rosé",FALSE
"ham",186,"PORK","PORK","Ham (not including deli-meat)*","Jambon (excluant les charcuteries)*",TRUE
"bacon",187,"PORK","PORK","Bacon*","Bacon*",TRUE
"anychick",189,"POULTRY","POULTRY","Any chicken (not including deli-meat)","Poulet (sauf la charcuterie)",FALSE
"cbreaded",190,"POULTRY","POULTRY","Store-bought breaded chicken","Poulet pané du commerce",FALSE
"zcbreaded",191,"POULTRY","POULTRY","Store-bought breaded chicken purchased frozen","Poulet pané du commerce acheté congelées",FALSE
"cstuffed",192,"POULTRY","POULTRY","Store-bought stuffed chicken products","Produits de poulet farcis achetés en magasin",FALSE
"zcstuffed",193,"POULTRY","POULTRY","Store-bought stuffed chicken products purchased frozen","Produits de poulet farcis achetés en magasin acheté congelées",FALSE
"cground",194,"POULTRY","POULTRY","Ground chicken","Poulet haché",FALSE
"wholec",195,"POULTRY","POULTRY","Roasted whole chicken purchased from a store","Poulet entier rôti du commerce",FALSE
"rawwholec",196,"POULTRY","POULTRY","Whole chicken purchased raw and cooked at home","Poulet entier acheté cru et cuit à la maison",FALSE
"chickparts",197,"POULTRY","POULTRY","Chicken pieces or parts","Poulet en morceaux ou en pièces",FALSE
"sausage_chick",198,"POULTRY","POULTRY","Chicken sausage (excluding dried sauage)","Saucisses de poulet (sauf les saucissons)",FALSE
"fb1_chickenfromarestaurantorfastfoodestablishment",199,"POULTRY","POULTRY","Chicken from a restaurant or fast food establishment*","Poulet provenant d'un restaurant ou d'un restaurant-minute*",TRUE
"anyturk",200,"POULTRY","POULTRY","Any turkey (not including deli-meat)","Dinde (sauf la charcuterie)",FALSE
"sausage_turk",201,"POULTRY","POULTRY","Ground turkey","Saucisses de dinde",FALSE
"tground",202,"POULTRY","POULTRY","Turkey sausage","Dinde hachée",FALSE
"turkparts",203,"POULTRY","POULTRY","Whole turkey","Dinde en morceaux ou en pièce",FALSE
"wholet",204,"POULTRY","POULTRY","Turkey pieces and parts","Dinde entière",FALSE
"tbacon",205,"POULTRY","POULTRY","Turkey bacon*","Bacon de dinde*",TRUE
"poultryo",206,"POULTRY","POULTRY","Other poultry (not including deli-meat)","Autres types de volaille (sauf la charcuterie)",FALSE
"deliany",208,"DELI-MEAT","CHARCUTERIES","Any deli-meat/cold cuts","Charcuteries ou viandes froides",FALSE
"chickdeli",209,"DELI-MEAT","CHARCUTERIES","Chicken deli-meat","Charcuterie de poulet",FALSE
"turkdeli",210,"DELI-MEAT","CHARCUTERIES","Turkey deli-meat","Charcuterie de dinde",FALSE
"hamdeli",211,"DELI-MEAT","CHARCUTERIES","Ham deli-meat","Charcuterie de jambon",FALSE
"beefdeli",212,"DELI-MEAT","CHARCUTERIES","Beef deli-meat","Charcuterie de bœuf",FALSE
"odeli",213,"DELI-MEAT","CHARCUTERIES","Other deli-meat","Autres charcuteries",FALSE
"hotdog",215,"OTHER MEAT / ANIMAL PRODUCTS","AUTRES PRODUITS DE VIANDE / D'ORIGINE ANIMALE","Hot dogs","Hot dogs",FALSE
