"variable_name","exposure_number","category","exposure","is_foodbook1_only"
"anypork",181,"PORK","Any pork (not including deli-meat)",FALSE
"pground",182,"PORK","Ground pork",FALSE
"sausage_pork",183,"PORK","Pork sausage",FALSE
"porkparts",184,"PORK","Pork pieces or parts",FALSE
"rpork",185,"PORK","Pork eaten raw or with pink still showing",FALSE
"ham",186,"PORK","Ham (not including deli-meat)*",TRUE
"bacon",187,"PORK","Bacon*",TRUE
"anychick",189,"POULTRY","Any chicken (not including deli-meat)",FALSE
"cbreaded",190,"POULTRY","Store-bought breaded chicken",FALSE
"zcbreaded",191,"POULTRY","Store-bought breaded chicken purchased frozen",FALSE
"cstuffed",192,"POULTRY","Store-bought stuffed chicken products",FALSE
"zcstuffed",193,"POULTRY","Store-bought stuffed chicken products purchased frozen",FALSE
"cground",194,"POULTRY","Ground chicken",FALSE
"wholec",195,"POULTRY","Roasted whole chicken purchased from a store",FALSE
"rawwholec",196,"POULTRY","Whole chicken purchased raw and cooked at home",FALSE
"chickparts",197,"POULTRY","Chicken pieces or parts",FALSE
"sausage_chick",198,"POULTRY","Chicken sausage (excluding dried sauage)",FALSE
"fb1_chickenfromarestaurantorfastfoodestablishment",199,"POULTRY","Chicken from a restaurant or fast food establishment*",TRUE
"anyturk",200,"POULTRY","Any turkey (not including deli-meat)",FALSE
"sausage_turk",201,"POULTRY","Ground turkey",FALSE
"tground",202,"POULTRY","Turkey sausage",FALSE
"turkparts",203,"POULTRY","Whole turkey",FALSE
"wholet",204,"POULTRY","Turkey pieces and parts",FALSE
"tbacon",205,"POULTRY","Turkey bacon*",TRUE
"poultryo",206,"POULTRY","Other poultry (not including deli-meat)",FALSE
"deliany",208,"DELI-MEAT","Any deli-meat/cold cuts",FALSE
"chickdeli",209,"DELI-MEAT","Chicken deli-meat",FALSE
"turkdeli",210,"DELI-MEAT","Turkey deli-meat",FALSE
"hamdeli",211,"DELI-MEAT","Ham deli-meat",FALSE
"beefdeli",212,"DELI-MEAT","Beef deli-meat",FALSE
"odeli",213,"DELI-MEAT","Other deli-meat",FALSE
"hotdog",215,"OTHER MEAT / ANIMAL PRODUCTS","Hot dogs",FALSE
"pate",216,"OTHER MEAT / ANIMAL PRODUCTS","Pâté/meat spread",FALSE
"organ",217,"OTHER MEAT / ANIMAL PRODUCTS","Any organ meats",FALSE
"vliver",218,"OTHER MEAT / ANIMAL PRODUCTS","Veal or calf liver",FALSE
"rawliver",219,"OTHER MEAT / ANIMAL PRODUCTS","Veal or calf liver consumed raw or undercooked",FALSE
"oorgan",220,"OTHER MEAT / ANIMAL PRODUCTS","Other organ meat",FALSE
"goat",221,"OTHER MEAT / ANIMAL PRODUCTS","Goat",FALSE
"lamb",222,"OTHER MEAT / ANIMAL PRODUCTS","Lamb",FALSE
"horse",223,"OTHER MEAT / ANIMAL PRODUCTS","Horse",FALSE
"driedmeat",224,"OTHER MEAT / ANIMAL PRODUCTS","Any dried/cured meat products",FALSE
"deer",225,"OTHER MEAT / ANIMAL PRODUCTS","Hunted or farmed deer1",FALSE
"huntedmeats",226,"OTHER MEAT / ANIMAL PRODUCTS","Other hunted meats1",FALSE
"bologna",227,"OTHER MEAT / ANIMAL PRODUCTS","Bologna*",TRUE
"salami",228,"OTHER MEAT / ANIMAL PRODUCTS","Salami*",TRUE
"pepperoni",229,"OTHER MEAT / ANIMAL PRODUCTS","Pepperoni*",TRUE
"kielbasa",230,"OTHER MEAT / ANIMAL PRODUCTS","Kielbasa*",TRUE
"sausage",231,"OTHER MEAT / ANIMAL PRODUCTS","Sausage*",TRUE
"Q90",232,"OTHER MEAT / ANIMAL PRODUCTS","Shawarma or donair",FALSE
"seafood",234,"FISH & SEAFOOD","Any seafood",FALSE
"anyfish",235,"FISH & SEAFOOD","Any fish",FALSE
"fishsmoke",236,"FISH & SEAFOOD","Smoked fish",FALSE
"fishraw",237,"FISH & SEAFOOD","Raw fish",FALSE
"shellfish",238,"FISH & SEAFOOD","Any shellfish",FALSE
"mussels",239,"FISH & SEAFOOD","Mussels",FALSE
"clams",240,"FISH & SEAFOOD","Clams",FALSE
"shrimp",241,"FISH & SEAFOOD","Shrimp/prawns",FALSE
"oysters",242,"FISH & SEAFOOD","Any oysters",FALSE
"oysters_r",243,"FISH & SEAFOOD","Raw oysters",FALSE
"scallops",244,"FISH & SEAFOOD","Scallops*",TRUE
"crab",245,"FISH & SEAFOOD","Crab*",TRUE
"lobster",246,"FISH & SEAFOOD","Lobster*",TRUE
"egg",248,"EGGS","Any eggs",FALSE
"eggraw",249,"EGGS","Raw or undercooked eggs",FALSE
"icecream",251,"DAIRY / DAIRY SUBSTITUTES","Ice cream",FALSE
"milkdess",252,"DAIRY / DAIRY SUBSTITUTES","Desserts containing milk or cream",FALSE
"milkunpas",253,"DAIRY / DAIRY SUBSTITUTES","Unpasteurized dairy milk (not including cheese)",FALSE
"yogurt",254,"DAIRY / DAIRY SUBSTITUTES","Yogurt",FALSE
"milkpas",255,"DAIRY / DAIRY SUBSTITUTES","Pasteurized dairy milk*",TRUE
"pwdmilk",256,"DAIRY / DAIRY SUBSTITUTES","Powdered milk product*",TRUE
"whipcream",257,"DAIRY / DAIRY SUBSTITUTES","Whipped/whipping cream*",TRUE
"sourcream",258,"DAIRY / DAIRY SUBSTITUTES","Sour cream*",TRUE
"anycheese",260,"CHEESE","Any cheese",FALSE
"gouda",261,"CHEESE","Gouda",FALSE
"feta",262,"CHEESE","Feta",FALSE
"scheese",263,"CHEESE","Brie, camembert or other soft cheese",FALSE
"gcheese",264,"CHEESE","Cheese made from goats milk",FALSE
"cheeseunp",265,"CHEESE","Any cheese made with unpasteurized milk",FALSE
"cheddar",266,"CHEESE","Cheddar*",TRUE
"mozz",267,"CHEESE","Mozzarella*",TRUE
"parm",268,"CHEESE","Parmesan*",TRUE
"hrdcheese",269,"CHEESE","Other cheeses sold as blocks/wheels*",TRUE
"procheese",270,"CHEESE","Processed cheese*",TRUE
"bvcheese",271,"CHEESE","Blue-veined cheese*",TRUE
"fcheese",272,"CHEESE","Cottage, ricotta or other fresh cheese*",TRUE
"gscheese",273,"CHEESE","Goat/sheep milk cheese*",TRUE
"nondairymilk",275,"DAIRY / DAIRY SUBSTITUTES","Non-dairy milk",FALSE
"nondairyprod",276,"DAIRY / DAIRY SUBSTITUTES","Other non-dairy products/substitutes",FALSE
"flour",278,"DRIED/PROCESSED/OTHER","Any wheat flour",FALSE
"dough",279,"DRIED/PROCESSED/OTHER","Eat, taste or lick any uncooked or unbaked dough made with wheat flour",FALSE
"oflour",280,"DRIED/PROCESSED/OTHER","Other flours",FALSE
"pbmeat",281,"DRIED/PROCESSED/OTHER","Any plant-based meat substitutes",FALSE
"tofu",282,"DRIED/PROCESSED/OTHER","Tofu",FALSE
"othermeatsub",283,"DRIED/PROCESSED/OTHER","Other plant based meat substitutes",FALSE
"hummus",284,"DRIED/PROCESSED/OTHER","Hummus (excluding home-made)",FALSE
"dietsup",285,"DRIED/PROCESSED/OTHER","Dietary or nutritional supplement",FALSE
"mealrepbev",286,"DRIED/PROCESSED/OTHER","Meal replacement beverages",FALSE
"protpowder",287,"DRIED/PROCESSED/OTHER","Protein powder",FALSE
"probiotics",288,"DRIED/PROCESSED/OTHER","Probiotics",FALSE
"cannabis",289,"DRIED/PROCESSED/OTHER","Food or drinks containing cannabis",FALSE
"pizza",290,"DRIED/PROCESSED/OTHER","Frozen pizza*",TRUE
"potpie",291,"DRIED/PROCESSED/OTHER","Frozen pot pies*",TRUE
"frozenm",292,"DRIED/PROCESSED/OTHER","Frozen meals in a bag or box*",TRUE
"frozens",293,"DRIED/PROCESSED/OTHER","Frozen snack foods/appetizers*",TRUE
"granola",294,"DRIED/PROCESSED/OTHER","Granola bars, power bars, or other protein bars*",TRUE
"chips",295,"DRIED/PROCESSED/OTHER","Chips or pretzels*",TRUE
"choc",296,"DRIED/PROCESSED/OTHER","Chocolate or chocolate-containing candy*",TRUE
"coldbc",297,"DRIED/PROCESSED/OTHER","Cold breakfast cereal*",TRUE
"hotbc",298,"DRIED/PROCESSED/OTHER","Hot breakfast cereal*",TRUE
"Q109_A",299,"DRIED/PROCESSED/OTHER","Asian style foods*",TRUE
"Q109_B",300,"DRIED/PROCESSED/OTHER","Indian style foods*",TRUE
"Q109_C",301,"DRIED/PROCESSED/OTHER","Mexican style foods*",TRUE
"Q110_Q111_dv",302,"DRIED/PROCESSED/OTHER","Meal from a fast food restaurant*",TRUE
"babyfoods",303,"DRIED/PROCESSED/OTHER","BABY FOODS",FALSE
"fb1_anybabyformula",304,"DRIED/PROCESSED/OTHER","Any baby formula*",TRUE
"Q1",305,"DRIED/PROCESSED/OTHER","Liquid*",TRUE
"Q2",306,"DRIED/PROCESSED/OTHER","Powder*",TRUE
"Q3",307,"DRIED/PROCESSED/OTHER","Store-bought pureed baby food*",TRUE
"Q4",308,"DRIED/PROCESSED/OTHER","Infant/toddler cereal*",TRUE
"butcher",310,"DRIED/PROCESSED/OTHER","Meat from a butcher shop",FALSE
"foodfarm",311,"DRIED/PROCESSED/OTHER","Food from farmer's market or farm",FALSE
"producefarm",312,"DRIED/PROCESSED/OTHER","Produce from a farmer's market or farm",FALSE
"eggfarm",313,"DRIED/PROCESSED/OTHER","Eggs from a farmer's market or farm",FALSE
"meatfarm",314,"DRIED/PROCESSED/OTHER","Meat from a farmer's market or farm",FALSE
"dairyfarm",315,"DRIED/PROCESSED/OTHER","Cheese or dairy products from a farmer's market or farm",FALSE
"mealkit",316,"DRIED/PROCESSED/OTHER","Food from a meal kit",FALSE
"organic",318,"DIETS","Always or sometimes eats organic produce",FALSE
"kosher",319,"DIETS","Vegan diet",FALSE
"vegan",320,"DIETS","Vegetarian diet",FALSE
"vegetarian",321,"DIETS","Kosher diet",FALSE
"halal",322,"DIETS","Halal diet",FALSE
"drankhomew",324,"WATER","Drank water supplied to residence",FALSE
"cmunicipal",326,"WATER","Municipal water",FALSE
"cwell",327,"WATER","Private well",FALSE
"ctruckedin",328,"WATER","Trucked-in water",FALSE
"cbottled",329,"WATER","Store-bought bottled water",FALSE
"ccistern",330,"WATER","Cistern",FALSE
"cnottreated",331,"WATER","Untreated lake, spring or river water",FALSE
"cotherw",332,"WATER","Other water source",FALSE
"swaminwadeorenteredlakeriverpondorstream",333,"WATER","Swam in, wade or entered lake, river, pond or stream",FALSE
"Q118",334,"WATER","Raw water consumption*",TRUE
"Q119",335,"WATER","Swim or go into any water*",TRUE
"naturalw",336,"WATER","Swim or go into any natural water*",TRUE
"Q120_A",337,"WATER","Ocean*",TRUE
"Q120_B",338,"WATER","Lake*",TRUE
"Q120_C",339,"WATER","River*",TRUE
"Q120_D",340,"WATER","Natural hot spring*",TRUE
"pool",341,"WATER","Pool*",TRUE
"hottub",342,"WATER","Hot tub*",TRUE
"waterpark",343,"WATER","Recreational waterpark*",TRUE
"swim",344,"WATER","Swim or go into a swimming facility in the last 4 weeks*",TRUE
